var_name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,50th,16th,84th
yp,0.2473064561893075,0.0009909168291689769,0.24545687033003832,0.2491658061822279,5.791876322365145e-06,4.095516008694705e-06,29270.884735760257,29270.884735760257,29279.374617898135,14377.553924914908,1.0000790921086842,0.2473111313310669,0.24631959563511152,0.24829311199996745
z_latent[0],0.012337870327889,0.0019216614959762116,0.008777188932814336,0.01600317075699601,1.039262574159848e-05,7.583699771392347e-06,34190.32279938685,32104.754992596852,34203.54422901937,12448.155626470558,1.0000602513305434,0.012329714273138424,0.010427626545103211,0.014252781967912569
z_latent[1],0.007439359801560342,0.0011875957073168766,0.005181939805987791,0.009633299974063475,7.053100300539267e-06,5.090230595656169e-06,28351.570328339418,27217.088903842785,28344.529239754895,13120.122209786816,1.0000197259542214,0.007444365723790583,0.006266972078827541,0.008613075879374087
z_latent[2],0.00832647267272558,0.0009141959790782256,0.006604757013450326,0.010037508795299601,5.121268282897625e-06,3.6718326113948486e-06,31865.707018190893,30994.95638107689,31883.53393197542,13588.003724310754,1.0006341037383646,0.008325251708504715,0.0074191464690472105,0.009229392710353923
z_latent[3],0.012163458040165703,0.001715297280587033,0.0089826013633693,0.015390881640221385,9.489271404612733e-06,6.80744111206828e-06,32674.80932067764,31746.000012222867,32673.98496503999,13411.261768883813,1.000060939927129,0.012171499655116578,0.010465843835598341,0.013874474193757255
z_latent[4],0.00878976746584469,0.001321969991173933,0.006329096625600188,0.011349891488314006,7.4339710897557244e-06,5.296886348428553e-06,31622.882753563932,31144.4060129838,31662.362176668077,13078.718526663662,1.0000690668205523,0.008798645920284088,0.007478802011041008,0.010081040417479715
z_latent[5],0.013766649081609324,0.001284135796187854,0.01135314279871645,0.016172564531621334,8.65308497161489e-06,6.11873613510936e-06,22023.176936154516,22023.176936154516,22048.62808668741,13750.829204425965,1.0002733310548404,0.013768365390255381,0.01249767525752241,0.015028647659513462
z_latent[6],0.014762958619614594,0.0022040726343333663,0.010623746972738891,0.01888990060136698,1.314258328007628e-05,9.536849319867817e-06,28124.857421907996,26706.77335027796,28095.763417622653,13174.207058256847,0.9999741181685591,0.01475202674136845,0.012590611330613372,0.016948767429976745
z_latent[7],0.013648089814069769,0.0020743115613293395,0.009754811682019261,0.017487040355880695,1.2020633805281174e-05,8.616586777593962e-06,29777.84340341304,28977.186257297755,29773.641499471476,12915.5736027212,1.000227809408051,0.013656840428152888,0.011602318958576342,0.01571730999292202
z_latent[8],0.012511576937272995,0.0017916570078286241,0.009060753624558587,0.015788617972315736,9.729193849307606e-06,6.983965712247348e-06,33912.20524468569,32906.61798944702,33944.02798823188,13005.039062582735,0.9999487354873086,0.012515077453360656,0.010729413772101886,0.014284597498268482
z_latent[9],0.01494471190261192,0.0025682304201120336,0.010108213431366184,0.01977200196538355,1.532218637865207e-05,1.1205188392132712e-05,28094.835269855128,26266.93008425318,28087.235184170055,13446.892022900805,1.000053293371424,0.014939792815623906,0.012370414838562289,0.017517664461204317
z_latent[10],0.026473991627388876,0.00366485361503815,0.019752555578919546,0.033511597624520086,2.212870756322841e-05,1.5887446948432666e-05,27428.443660265584,26606.305088301768,27411.589874929945,13502.599592254803,1.0001908541771642,0.026469525043034285,0.02281886060938668,0.030156581839959604
z_latent[11],0.011498469039405828,0.0012868300093581125,0.0089876114064671,0.013863969670176283,7.497792834598976e-06,5.367344039594447e-06,29456.11639646534,28741.030554173398,29478.902409311042,12878.127834242578,1.000144234850254,0.011499301441861771,0.010228346067020758,0.012779195268506474
z_latent[12],0.00854071605207316,0.0011215902970282256,0.00639950424197713,0.010614085099230204,6.282806919070175e-06,4.498428444276473e-06,31868.458757554778,31083.14847901063,31874.795614793446,13160.999723015959,1.000295672931225,0.008547427561309724,0.007432539227986934,0.009642431875953083
z_latent[13],0.027154068872532612,0.003866765410627675,0.01987611829134652,0.03443927940066395,2.3124432169394042e-05,1.6711506618998333e-05,27961.051254121583,26769.72603109065,27963.994880277885,13417.440794726483,1.0001729439022813,0.027142086302779662,0.023311934305363553,0.03097899980469027
z_latent[14],0.012439391606480367,0.001944340759026544,0.008831575235234469,0.0160967829386904,1.2055508973176093e-05,8.645246504038374e-06,26011.99485322634,25291.2328708157,26025.976958924402,13954.807952391444,1.000329151868608,0.012447397826527557,0.010498271641957501,0.014382018678819932
z_latent[15],0.012844089001925374,0.0019183006999627483,0.009209921573685855,0.01642143464757041,1.123460264876732e-05,7.988363255173036e-06,29155.328372000626,28833.44379006963,29201.909469843744,14056.556562480107,0.9999878891664111,0.012835340577894247,0.010942876086512484,0.01475462728200795
z_latent[16],0.015531920438913323,0.0021067205629629977,0.011683498675805435,0.01964063618574814,1.1882882864337307e-05,8.601776987274699e-06,31431.871215003364,29992.728789036686,31425.402932921228,11916.758228720832,1.0000075087392064,0.015534159321556183,0.013457178065850022,0.017623341937987907
z_latent[17],0.019251975316246853,0.002756652981156618,0.013957183076858847,0.02435465972447153,1.675439822826649e-05,1.2037528632619041e-05,27071.139071332163,26222.20412270737,27035.997516252657,13589.718899296635,1.000374178632539,0.019245271547894793,0.016507524139791376,0.02200047135337299
z_latent[18],0.017144069310647173,0.00285578543161339,0.01169591877015018,0.022415705411276913,1.7292415273636154e-05,1.2615505929718135e-05,27273.4347010719,25622.51028082968,27395.448626049998,13121.353510083767,1.0005141896078709,0.017119958034618625,0.014293319427827838,0.020017177666527736
z_latent[19],0.01817315137600485,0.002982920451484962,0.01260638337732147,0.023708713791210423,1.970776830171148e-05,1.415726974640055e-05,22909.12215586913,22197.586662281807,22917.99805888273,13473.796090284206,1.0000401896526687,0.018177434375539592,0.015190391561115006,0.02116135531342476
z_latent[20],0.012534169813472364,0.0021514566226904282,0.00846370023056929,0.016537349176126367,1.2098218208231281e-05,8.747782342247329e-06,31624.4049111634,30244.585526874114,31619.12325779157,13943.982023362774,1.0000965279995937,0.012548163465785241,0.010401819678266581,0.014669702010735041
z_latent[21],0.010390883252309994,0.0016728440118254989,0.007218976120834487,0.013524760844759598,1.01817454951404e-05,7.257510212660055e-06,26993.94867938468,26565.326338869247,27058.431549133616,12850.928657356526,1.0001491828380213,0.010394388930465657,0.008727844165462682,0.012038284423569004
z_latent[22],0.01969244550487369,0.003025308085739233,0.014052863289443754,0.025475957665055716,1.8384963663671635e-05,1.315803266422108e-05,27077.817978892163,26432.41695385805,27069.546297580913,13662.740424117439,1.0003599163420203,0.019697166126311907,0.0166936222425931,0.02267564455037965
z_latent[23],0.03234952858478005,0.003548546603245409,0.025590724928545746,0.03892517746384315,2.0901006254190442e-05,1.4878483705359213e-05,28824.82212659839,28442.15940296447,28822.775672358624,14122.057804371734,1.0001548165291188,0.03237205057734466,0.02880313096457463,0.03587974843205638
z_latent[24],0.013062862214792375,0.0019866564912272015,0.009324737922316079,0.016712027646330105,1.1884945261355843e-05,8.574261340600966e-06,27941.594748793814,26843.03150721648,27953.258925277598,12832.718467149418,1.0003219482475512,0.013054669347689125,0.011097940426231571,0.015049126092824838
z_latent[25],0.017824695674563146,0.002363675792146267,0.013433763542167068,0.02228116384862188,1.3068153615341026e-05,9.476257910134642e-06,32715.032254422316,31108.584868057784,32732.739947972663,14081.88872114807,1.000202953196721,0.017827654862198714,0.015489201661488204,0.02017375749000223
z_latent[26],0.011934958485399515,0.0017847522979373474,0.008604946500122166,0.015312027942503994,1.0498806750280853e-05,7.594416002635279e-06,28898.547580091054,27615.081441612176,28914.444713206038,13683.223935734053,1.0000990324153227,0.011935838780146698,0.010158170680521961,0.01372593563556459
z_latent[27],0.01533442245763344,0.002270566067114679,0.011142348194993225,0.01969244328805774,1.2549881373377903e-05,9.05269094093783e-06,32733.243782345668,31455.090279169,32760.204733650055,13067.871385509865,0.9999421363750084,0.015322084683026267,0.013085091013386025,0.017601933419052567
z_latent[28],0.012799723840317717,0.002076723357486196,0.00878901383146254,0.016579290519504974,1.1156933550530375e-05,7.994309149144484e-06,34647.15685151468,33742.16335337805,34627.44283668805,13927.891500149375,0.9999815536736127,0.012791265518161843,0.010739986993498022,0.014854552952114906
z_latent[29],0.011996103160258125,0.0020753481316673305,0.00825044970413081,0.01604930482764998,1.1996388790688429e-05,8.589167344061362e-06,29928.217546634794,29191.640582203476,29985.947193061806,12762.094443370572,1.0000331977802466,0.011991000745141148,0.009929833888239824,0.014056877525047277
z_latent[30],0.014107472513154458,0.0021068932638255407,0.010168869036029284,0.01805248858658735,1.1757325025329294e-05,8.493537479822872e-06,32112.049218019896,30767.06577343297,32094.16698942008,13376.398143163455,1.0001780861240133,0.014107479594673716,0.01199987431161733,0.016212208255458552
z_latent[31],0.006839859170884239,0.0008707560013314719,0.005178629056413975,0.008444542449051955,4.696865343728121e-06,3.3604525872214846e-06,34369.77854633892,33571.825893318244,34284.63903490843,13576.89562721707,1.0004840597038838,0.0068438954058004965,0.005978332455805652,0.007704627323364883
z_latent[32],0.027019858298879144,0.003922410982341174,0.019613807837397555,0.034282014505167165,2.5522750544173026e-05,1.8203858153725945e-05,23618.441733619762,23214.54687464255,23635.00318291869,14800.813845190889,1.0000632528667504,0.027029225401492045,0.02309591912204177,0.030893347676248847
z_latent[33],0.013386181047947818,0.0021029185564022364,0.009434808560340442,0.01733552030769033,1.2602404951046852e-05,9.130061423181642e-06,27844.41162605839,26526.32486969621,27827.241659948635,13334.292358443892,1.0003427221748933,0.013387297704818411,0.011294033788495084,0.015494084266118733
z_latent[34],0.026380069521954413,0.0036811518067518994,0.019385741238586524,0.033163451103056914,2.3578174740660398e-05,1.678237729301799e-05,24375.138460495495,24056.97546445049,24407.295876796954,14137.95690425804,0.9999533320705624,0.02638302737309453,0.022694988832906923,0.030100375608941514
z_latent[35],0.01696731090827549,0.0023148802831528857,0.012665087690992803,0.02135538112951369,1.2961601539192752e-05,9.27492590033109e-06,31896.258248118487,31146.8620144942,31926.765119903328,13340.713287678649,1.0005071500744886,0.01698344835085461,0.014653567905921774,0.019284896930511185
z_latent[36],0.0170585812059384,0.0023175325341156456,0.01272478301841862,0.02134423781168802,1.3840692168391787e-05,9.913794486599191e-06,28037.291697546993,27324.43019559037,28057.828025550767,13112.070994988342,1.0001836821752197,0.017059716133322057,0.014728245324097349,0.019347634433577638
z_latent[37],0.01329947918489608,0.0014310537057521076,0.01059418888030284,0.01597064747740644,8.561712754618779e-06,6.129304108604773e-06,27937.694172125102,27256.419913653423,27939.246899627746,12965.029453777548,1.0005875872560168,0.01330250732994863,0.011875490491413223,0.014709040984268472
z_latent[38],0.00986067892770727,0.001068540013963087,0.007801104633800264,0.011815461824907407,6.4179360820938676e-06,4.584054837679695e-06,27719.845470085627,27168.225597036544,27728.73555319485,14175.47340333114,0.9999547401319924,0.009854166349570344,0.008798226672506168,0.010928566912580057
z_latent[39],0.007756800631022236,0.0008136605460273647,0.006159967391049788,0.009226715621266946,5.056071522405602e-06,3.610411336445075e-06,25897.63454548779,25395.28632955065,25906.564109073766,13864.358136163324,0.9999943898094633,0.007753775004730224,0.006946818622507931,0.008566680780532064
z_latent[40],0.01419724170475633,0.00219954958666459,0.010073971361959456,0.018346097257602768,1.3833215162025915e-05,9.845942350487605e-06,25282.571859810396,24953.59241497183,25311.785164958666,13858.904619179963,0.9999890836592203,0.014202658843994517,0.012028168716356166,0.016373712103816353
z_latent[41],0.010756248896874075,0.0016385873845836865,0.0076847883715088425,0.013814844640883856,9.720589272690561e-06,7.040942529740231e-06,28415.416596282204,27080.517668937646,28441.7637260186,12329.546465291427,1.0002363083483174,0.010746636502013539,0.009129154445436903,0.012393872435382472
z_latent[42],0.019279851093913503,0.002776596309735298,0.014002019619896217,0.024406115150278712,1.6423064912207122e-05,1.180820546494186e-05,28583.609192134965,27646.289807649944,28553.564021119077,12717.050802548036,0.9999655052263816,0.019295738730029925,0.016517775490848208,0.022041286138414547
z_latent[43],0.01743003536067278,0.002451648955242534,0.013033024181094165,0.02214337799350253,1.678675018670534e-05,1.2025572287583e-05,21329.629650217306,20781.996301424264,21376.68593144792,13412.754049865334,1.0000842321814887,0.01742150815429671,0.01500577161146793,0.019866781373365817
z_latent[44],0.016117953539163208,0.002955841773019905,0.010584188767373819,0.021784311772193275,1.7100467064721282e-05,1.242714831327892e-05,29877.648940173647,28287.74663097742,29995.14342244309,13391.424729873723,1.000042614744905,0.016118134643697848,0.013196045183066177,0.01903266844158302
z_latent[45],0.028248028697673642,0.0036612407845741293,0.021440837723147713,0.035113573187085544,2.1740940210716583e-05,1.555949954684714e-05,28359.58946806485,27684.995794172217,28350.932560671674,13235.858129186958,1.0000531484922024,0.028244987269471833,0.024574361015464827,0.031900455897439894
z_latent[46],0.009914333313413197,0.001581993958604975,0.006918792982890968,0.01289502680818906,8.17335055693838e-06,5.884051443489475e-06,37463.58972383298,36143.79152114435,37487.56634923033,13760.843667863795,1.000210606391547,0.009923354395513518,0.008346472944244891,0.011473346565604926
z_latent[47],0.006657682138024215,0.0007529859942973212,0.005254308878823752,0.008068871361174578,4.625362613269575e-06,3.297688604711602e-06,26502.21819630214,26069.591750324245,26474.096031813104,13011.578662929682,0.9999782562578744,0.006656006252138981,0.005902556814591224,0.007423564732177675
z_latent[48],0.024172615584565876,0.0031307909363230326,0.01818871635319249,0.029852352361433725,1.856434710695562e-05,1.3216867853361427e-05,28441.256274113075,28056.27702394864,28442.708703049873,13575.442347245846,0.999978856531812,0.02417987375939281,0.021032879290862054,0.027301194194844988
z_latent[49],0.02067467147079212,0.0031479870592603237,0.014716868146511283,0.02649674204767036,1.8032728745735363e-05,1.3098581810269515e-05,30474.948257452037,28879.925603915795,30479.626702381924,12476.196010336904,1.00053768363008,0.02068157653213773,0.01752333661572284,0.02381379807614724
z_latent[50],0.010150960993913206,0.0018895674998814073,0.006549786236332778,0.013681011489651682,1.0844669216438167e-05,7.830655384286354e-06,30359.331314804214,29114.365215399914,30369.305379609017,13337.525825556717,1.0001937099069553,0.010139837928749087,0.008291260667392645,0.012022768229796088
z_latent[51],0.016306989327703397,0.0013432355903352754,0.013812222392021237,0.01885198827032245,7.4330393992199915e-06,5.27981039896005e-06,32656.64092948541,32362.76298354108,32683.61102105963,13518.900996323455,0.999949795103236,0.01630435040402868,0.014980693833147417,0.01764764825563871
z_latent[52],0.02329323139337597,0.0031964839231965036,0.017385942249736913,0.0294218113149971,1.7838472840393743e-05,1.2737185235284846e-05,32109.21631874158,31490.25488630302,32129.772366077446,13405.705791177927,1.000033843474833,0.02331369208085568,0.02007815451469085,0.02645784155772576
z_latent[53],0.010078541936594075,0.0014927804711403207,0.007239838432127131,0.012847237594366187,9.353852178425783e-06,6.7177551663811314e-06,25468.940869481357,24690.154395985737,25447.278122806034,13038.7369268467,1.000248878267088,0.010081627668541001,0.008600523042377864,0.011536895600908967
z_latent[54],0.015430247108911612,0.002392018360214092,0.010909628317257676,0.0199481933235732,1.3704021250465812e-05,9.951329777967102e-06,30467.229978119274,28889.870114678164,30482.18546481003,12827.81347328564,0.9999847602202372,0.015423879514335912,0.01308710266411357,0.01779036457510607
z_latent[55],0.023972629430097616,0.0032414479164254197,0.017993392057985187,0.03015114846455033,1.7504182436932024e-05,1.2651072628488325e-05,34292.12777755033,32824.72415914774,34300.32573519848,13063.319477231067,1.0003698843244535,0.023953419845617902,0.02075464276085808,0.02719947945752976
z_latent[56],0.015503432593421226,0.002358768758006373,0.011109662149593611,0.019856795211317287,1.4576544684293056e-05,1.0478021336895696e-05,26185.541376476092,25339.156595347624,26189.584311384646,12383.354129365931,1.000239077971714,0.015511978858285088,0.013157535250862955,0.017848255548575474
z_latent[57],0.019502364360199552,0.0025926789423056104,0.014709105882185564,0.024435308794032596,1.558115297552506e-05,1.1129963536572396e-05,27688.427886153266,27132.469664089153,27702.83545530105,13822.797846316134,1.0001375699699617,0.019481781320269783,0.01692838861153307,0.022097801265762874
z_latent[58],0.009314331958438784,0.0012391972918940099,0.006992726386142771,0.011665546667538731,7.1240387638004165e-06,5.0499172174778534e-06,30257.17405089063,30108.619769561094,30281.441362575508,12760.658205421398,1.0004975873075181,0.009316737354835767,0.008069315681524667,0.010555389586150588
z_latent[59],0.014283891570952096,0.0014234379757123257,0.011610417895568697,0.01694824905654681,8.311957479903276e-06,5.921676419642411e-06,29327.191190177742,28891.26416758629,29307.403602491755,13561.04791422575,1.0000232504156266,0.01427520898788613,0.01286828873817092,0.01569808097840152
z_latent[60],0.016076547892421283,0.0020001819269012946,0.012311726037670907,0.01980159395780677,1.2060045897802687e-05,8.65753508568401e-06,27506.86375360341,26688.858345924025,27486.460726937727,12649.35796827489,0.9999748573924605,0.016066501907462186,0.01411022922222422,0.01806660205260528
z_latent[61],0.013942521788478499,0.0022221433803689817,0.009776332980674641,0.018109225916356456,1.4146630253458177e-05,1.0132520522333422e-05,24673.919874990388,24048.595676777164,24652.82240787476,13590.553517333372,1.0001126603371018,0.013949890533005823,0.011707956024499467,0.01616083536263178
z_latent[62],0.00909909967340057,0.0013769115957825442,0.006488458668936795,0.011643807157366152,8.112523124648158e-06,5.8967047645408396e-06,28807.145042388805,27262.93875700307,28806.625659645386,12128.069557310675,1.0001925070651094,0.009097350366448344,0.0077447014000125184,0.010462815845865909
z_latent[63],0.014353100874413141,0.002331845735539644,0.009926949745860173,0.0186782435424739,1.407904137881403e-05,1.006203886763821e-05,27431.746669342676,26853.881915843453,27441.531231093777,12594.027850781538,1.000179193563769,0.014372284603744973,0.012010776350413638,0.016667148997639172
z_latent[64],0.011178552580138936,0.0017703833467282955,0.007977671969569097,0.01459053392342636,1.021179578381191e-05,7.3554257900257164e-06,30055.94512094031,28966.61355567351,30040.192289034927,12794.395453378222,1.0005962747175354,0.011185164596923348,0.009426996444503254,0.012925350603241187
y_offset[0],0.12627710705121742,0.9496570501555345,-1.646392821841195,1.9280915799647704,0.005235390805473619,0.008074168832095205,32902.991222284574,6917.4267902710435,32889.73958911703,12893.742954120593,0.9999415867909984,0.12121811347644787,-0.8073376171432459,1.0666456801793567
y_offset[1],0.15530010679213632,0.9476742056521766,-1.6339191853838275,1.9082253398258768,0.0058121230758547355,0.0073227247133747595,26585.725442746167,8374.771436341656,26712.546532711945,13167.359626753863,1.0001188484935066,0.1497587049309158,-0.7933946701690517,1.099165567982108
y_offset[2],-0.017760204166378506,0.9452373833124322,-1.8028501369733905,1.770025742805755,0.006282456472973038,0.00710526954963039,22637.204899954682,8849.511384734145,22642.784787490928,13005.478492800148,1.0002696891249716,-0.019842318363413734,-0.95359539851214,0.9181229679552135
y_offset[3],0.022403828521087195,0.9618262173295312,-1.7421336567953252,1.863393062074558,0.005376295304986636,0.008058681042100405,32005.675014145047,7123.129821360058,32042.873167786584,13477.230420379577,1.0004849669671185,0.022948377017634223,-0.9281637633782144,0.9819458222200308
y_offset[4],0.14016152311987873,0.9622613681097704,-1.6401548235533698,1.9621457720713409,0.005812241607325212,0.007998036362264205,27409.352926927753,7238.096310869481,27418.28883849648,12597.080499470712,1.0000985066473111,0.14041116105713067,-0.8150916109985269,1.1040620638050935
y_offset[5],0.011325731252870747,0.9590831855775152,-1.783140640110433,1.7939672039449361,0.005610876990403878,0.0077671688131086825,29218.038636898178,7624.130161999527,29269.17954504637,14047.899953804143,1.0000412273969275,0.018345701846789596,-0.9467486002344622,0.9710790269010905
y_offset[6],-0.28253143573314243,0.9307745234581594,-1.967077749625625,1.5435038930140068,0.005180110434908398,0.007011907335079821,32285.75434217684,8810.80103134178,32274.979315813096,13909.060331204211,1.0000578930503392,-0.2866962253216978,-1.2214628787100967,0.6507903044002965
y_offset[7],0.08025992781378186,0.9595120817625873,-1.7370417436649017,1.8890329860831254,0.0054715870088184945,0.007826262230584745,30752.06441158769,7516.1565629427005,30760.256166520638,13426.78562556617,1.0004371020991032,0.07535742382398145,-0.8675723686279613,1.031152283571827
y_offset[8],0.0653062973769811,0.9409629884514055,-1.684935533640732,1.8490217328185805,0.005497981023065077,0.007853609439260752,29291.297495227536,7178.137662345286,29286.685332235123,13397.689866900384,1.0004409462044237,0.0671899345029433,-0.8699826141492292,1.0002254098690808
y_offset[9],0.05153898116092688,0.9538495185870152,-1.6929101510170954,1.8923040119636232,0.005055846686837463,0.008082887662056955,35593.60182291612,6963.587417145604,35613.92481714524,12838.77965123444,1.0001152191215879,0.04791317899031122,-0.9009457321395634,1.0100098842609182
y_offset[10],-0.1273665743059635,0.9645494353351667,-1.887975941462462,1.7343656507757808,0.006142545957418831,0.007414810827621681,24657.67665886153,8461.527646559209,24659.85828196373,14394.655280390803,1.0001298588610767,-0.12449849753537374,-1.087999733180714,0.838718455962497
y_offset[11],0.07462986096248583,0.9504406995124306,-1.718103410354983,1.8750726156781605,0.0058541807919790115,0.007558422314857477,26358.323855509894,7906.600368938967,26378.22109356171,12704.215092646209,1.000064508559714,0.07954322650764421,-0.8607841242497564,1.0154173752036622
y_offset[12],0.1475166048194993,0.9609521429486726,-1.6508545627261124,1.9361130601798773,0.005731806476056868,0.007708563107306809,28107.387532513272,7770.684248590113,28096.292491775457,13806.618974107161,1.0000390948730389,0.1476442366666638,-0.8088228452274341,1.1006240714792774
y_offset[13],-0.09776294129323418,0.9700452594526771,-1.8977365667612969,1.727778442616765,0.0059320659075834435,0.008008028405242206,26740.6561851961,7337.317565917003,26790.566088439275,13474.42706642994,0.9999174078324109,-0.0992304214039681,-1.0648305198025174,0.8623262768920987
